Product ID,Customer ID,Order Date,Price,Quantity,Sales
P001,C001,2024-01-01,55,2,110a
P002,C002,2024-01-02,32,4,128a
P003,C003,2024-01-05,18,5,90a
P004,C004,2024-01-08,75,1,75a
P005,C005,2024-01-10,42,3,126a
P001,C006,2024-01-15,58,2,116a
P002,C007,2024-01-18,30,6,180a
P003,C008,2024-01-22,20,4,80a
P004,C009,2024-01-25,72,2,144a
P005,C010,2024-01-28,45,3,135a
P001,C011,2024-02-01,60,3,180a
P002,C012,2024-02-04,33,5,165a
P003,C013,2024-02-07,22,7,154a
P004,C014,2024-02-10,78,1,78a
P005,C015,2024-02-14,40,4,160a
P001,C016,2024-02-18,57,3,171a
P002,C017,2024-02-22,31,5,155a
P003,C018,2024-02-25,21,6,126a
P004,C019,2024-02-28,76,2,152a
P005,C020,2024-03-02,44,3,132a
P001,C021,2024-03-05,59,4,236a
P002,C022,2024-03-09,34,7,238a
P003,C023,2024-03-12,19,5,95a
P004,C024,2024-03-15,80,2,160a
P005,C025,2024-03-18,43,4,172a
P001,C026,2024-03-22,56,3,168a
P002,C027,2024-03-25,35,6,210a
P003,C028,2024-03-28,23,8,184a
P004,C029,2024-04-01,77,1,77a
P005,C030,2024-04-05,41,5,205a
P001,C031,2024-04-08,62,3,186a
P002,C032,2024-04-12,36,4,144a
P003,C033,2024-04-15,24,6,144a
P004,C034,2024-04-19,79,2,158a
P005,C035,2024-04-22,39,4,156a
P001,C036,2024-04-26,63,3,189a
P002,C037,2024-04-29,32,7,224a
P003,C038,2024-05-03,21,5,105a
P004,C039,2024-05-07,81,2,162a
P005,C040,2024-05-10,46,3,138a
P001,C041,2024-05-14,58,4,232a
P002,C042,2024-05-18,33,6,198a
P003,C043,2024-05-22,20,9,180a
P004,C044,2024-05-25,75,1,75a
P005,C045,2024-05-29,47,3,141a
P001,C046,2024-06-02,61,5,305a
P002,C047,2024-06-06,37,4,148a
P003,C048,2024-06-09,25,7,175a
P004,C049,2024-06-13,82,2,164a
P005,C050,2024-06-17,44,4,176a
P001,C051,2024-06-21,60,3,180a
P002,C052,2024-06-25,34,6,204a
P003,C053,2024-06-28,22,5,110a
P004,C054,2024-07-02,78,2,156a
P005,C055,2024-07-05,43,4,172a
P001,C056,2024-07-09,64,3,192a
P002,C057,2024-07-13,35,5,175a
P003,C058,2024-07-17,26,6,156a
P004,C059,2024-07-21,83,1,83a
P005,C060,2024-07-25,45,4,180a
P001,C061,2024-07-29,59,5,295a
P002,C062,2024-08-02,38,4,152a
P003,C063,2024-08-06,23,8,184a
P004,C064,2024-08-10,79,2,158a
P005,C065,2024-08-14,42,5,210a
P001,C066,2024-08-18,65,3,195a
P002,C067,2024-08-22,36,7,252a
P003,C068,2024-08-26,24,5,120a
P004,C069,2024-08-30,84,2,168a
P005,C070,2024-09-03,48,3,144a
P001,C071,2024-09-07,63,4,252a
P002,C072,2024-09-11,32,6,192a
P003,C073,2024-09-15,25,7,175a
P004,C074,2024-09-19,80,1,80a
P005,C075,2024-09-23,41,5,205a
P001,C076,2024-09-27,62,3,186a
P002,C077,2024-10-01,37,4,148a
P003,C078,2024-10-05,26,6,156a
P004,C079,2024-10-09,85,2,170a
P005,C080,2024-10-13,49,3,147a
P001,C081,2024-10-17,66,4,264a
P002,C082,2024-10-21,39,5,195a
P003,C083,2024-10-25,22,8,176a
P004,C084,2024-10-29,81,2,162a
P005,C085,2024-11-02,44,4,176a